dataset,pred_len,features,activation,activation_family,amplitude,frequency,phase,lee_type,baseline_activation,mse_mean,mse_std,mae_mean,mae_std,seed_count_x,server_count,relative_mse_change_mean,win_rate,effect_label,source_file,global_label,factor,sample_count,seed_count_y,start_bin,middle_bin,end_bin,target_relative_change_low,target_relative_change_mid,target_relative_change_high,target_relative_change_high_minus_low,target_win_rate_low,target_win_rate_mid,target_win_rate_high,target_win_rate_high_minus_low,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,factor_source_file,factor_label
ETTh1,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,1.1830498,0.0561591988878046,0.8758701533333334,0.0202614622850507,3,1,-0.0081237841138503,0.0,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,8064,3,low,mid,high,-0.0834636078559546,-0.057469385644097,-0.0699870693927937,0.0134765384631609,0.2390646492434663,0.3129541468303683,0.1917808219178082,-0.047283827325658,0.070893443813392,0.0699490580350519,False,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,tanh,1.1830498,0.0561591988878046,0.8758701533333334,0.0202614622850507,3,1,-0.0081237841138503,0.0,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,8064,3,low,mid,high,-0.075063216198954,-0.0350356498587534,-0.0918509940529868,-0.0167877778540327,0.2902935889754344,0.3617619493908153,0.1778549382716049,-0.1124386507038294,-0.0857718252922716,-0.1222606412134341,False,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,opposes_high_factor_benefit
ETTh1,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,1.1814970666666669,0.0460762421976155,0.8746960566666666,0.0203970357166975,3,1,-0.0071274400883134,0.6666666666666666,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,turbulence_score,8064,3,low,mid,high,-0.1945936230773828,-0.1482743248483166,-0.1343317016845964,0.0602619213927864,0.171939477303989,0.2387872713605612,0.3013698630136986,0.1294303857097096,0.1046408313193114,0.0897663524968271,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,tanh,1.1814970666666669,0.0460762421976155,0.8746960566666666,0.0203970357166975,3,1,-0.0071274400883134,0.6666666666666666,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,not_supported,volatility,8064,3,low,mid,high,-0.2100876518750458,-0.0880446813537937,-0.1808595693386855,0.0292280825363603,0.1527860994607549,0.32427366447985,0.1959876543209876,0.0432015548602327,0.0940542851908882,0.0645250518001915,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,turbulence_score,10800,3,low,mid,high,-0.0472773537363251,-0.0405330256063618,-0.0616346737816004,-0.0143573200452752,0.4179263359591228,0.4264396403290606,0.4429223744292237,0.0249960384701009,0.0004262703473091,0.0103916111896243,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,volatility,10800,3,low,mid,high,-0.0431739721085263,-0.0397121841180445,-0.052254619225132,-0.0090806471166056,0.4010560146923783,0.4435374149659864,0.4363584474885845,0.0353024327962061,-0.0060129539137973,0.0241105319838726,False,phase1_remote_results/10.21.53.113/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,turbulence_score,5376,1,low,mid,high,0.0460204547248819,,,,0.7725074404761905,,,,-0.1887534027829695,-0.1446589852272663,True,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,opposes_high_factor_benefit
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,volatility,5376,1,low,mid,high,0.0460204547248819,,,,0.7725074404761905,,,,0.1887052355962719,0.1464208562002418,True,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,turbulence_score,16176,3,low,mid,high,-0.0356878691386016,-0.0117534536093579,-0.0072677424085891,0.0284201267300125,0.3944622234590232,0.4276571715397164,0.4990196078431372,0.104557384384114,0.0357548544893841,0.0207911321099741,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,volatility,16176,3,low,mid,high,-0.0233744041972213,-0.022062656909098,-0.0206172273478954,0.0027571768493259,0.4241443108233117,0.417173607861488,0.4095273264401772,-0.0146169843831344,-0.0292646709538935,-0.0249919571547072,False,phase1_remote_results/10.21.53.62/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,turbulence_score,8064,3,low,mid,high,-0.0439007101287694,-0.0002297541114925,-0.0065154288757633,0.037385281253006,0.288135593220339,0.5063004032258065,0.4726027397260274,0.1844671465056884,0.2682803516668042,0.2226069342141738,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,supports_factor_gradient_only
ETTh1,168,M,tanh_sin,sin_perturb,0.01,1.0,0.0,1,tanh,1.1337326933333334,0.0905260239593112,0.8546464146666667,0.0384773269593768,6,4,0.0060262295121309,0.5333333333333333,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,weak_signal,volatility,8064,3,low,mid,high,0.0049033124574765,-0.0118160490898759,-0.0601429681149212,-0.0650462805723978,0.5447783397798275,0.4306016106110848,0.2044753086419753,-0.3403030311378522,-0.3566161357744341,-0.2933121602790684,True,phase1_remote_results/10.21.53.82/analysis_current_factors/phase1_factor_contrast_summary.csv,opposes_high_factor_benefit
ETTh1,168,M,tanh_sin,sin_perturb,0.05,1.0,0.0,1,tanh,1.16073975,0.0162715876952742,0.8731104000000001,0.0092646544684623,1,1,-0.0017775497598358,0.5,ineffective,phase1_remote_results/all_servers_current/phase1_activation_summary.csv,single_seed_not_supported,turbulence_score,5376,1,low,mid,high,0.0016156259742347,,,,0.5275297619047619,,,,-0.0410406313113585,-0.0321007022148219,False,phase1_remote_results/10.20.12.248/analysis_current_factors/phase1_factor_contrast_summary.csv,flat_or_mixed
