dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,10329,3,0.2980552,0.2806402,0.017414987,0.05842873,-0.18362937786306965,0.539064769096718,0.2792488,0.26804087,0.011207938,0.040136028,-0.08656206477028501,0.5084712944137865
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,17568,3,0.18308187,0.16711348,0.015968382,0.0872199,-0.19812455031990236,0.5623861566484517,0.22635208,0.21671341,0.009638667,0.04258263,-0.08585204447594692,0.523224043715847
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.1267893,0.115222394,0.011566907,0.091229364,-0.24391364036522117,0.5309817499819663,0.19770129,0.20281334,-0.005112052,-0.025857454,-0.12539757538712146,0.46714275409363054
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,low,10329,3,0.2806402,0.29240948,-0.011769265,-0.041937202,-0.19780424078328207,0.4900764836867073,0.26804087,0.26256275,0.005478114,0.020437608,-0.06002961411358507,0.5189272920902314
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,mid,17568,3,0.16711348,0.16931513,-0.0022016466,-0.01317456,-0.2108044197709691,0.49630009107468126,0.21671341,0.22334361,-0.006630197,-0.03059431,-0.09741503781170664,0.4800204918032787
Solar1,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.115222394,0.118903324,-0.0036809295,-0.0319463,-0.2822399559318637,0.49202914232128686,0.20281334,0.21178165,-0.008968309,-0.04421952,-0.14668733524090735,0.45682752650941355
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,17559,3,0.35237208,0.29429632,0.058075756,0.16481373,-0.22714788251558699,0.5903525257702603,0.21845624,0.19364676,0.02480948,0.11356728,-0.04192895548213163,0.5720143516145566
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,10122,3,0.26494473,0.2543566,0.010588139,0.039963577,-0.39103477532609165,0.4991108476585655,0.20518638,0.19977959,0.005406797,0.026350662,-0.162108705772854,0.4948626753606007
Solar5,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,14079,3,0.20412417,0.1935392,0.010584965,0.051855523,-0.32469010452284036,0.5268840116485546,0.15921108,0.14991762,0.009293467,0.058371983,-0.13620016578512983,0.5259606506143902
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,17559,3,0.35237208,0.31952846,0.03284362,0.09320721,-0.49794703589301537,0.5738937297112592,0.21845624,0.20453584,0.013920397,0.06372167,-0.12600672634538385,0.5761148129164531
