dataset,pred_len,activation,activation_family,amplitude,lee_type,baseline_activation,factor,source_host,sample_count,seed_count,relative_target_mse_change_mean_low,relative_target_mse_change_mean_high,relative_target_mse_change_mean_high_minus_low,aggregate_relative_target_mse_change_low,aggregate_relative_target_mse_change_high,aggregate_relative_target_mse_change_high_minus_low,target_win_rate_low,target_win_rate_high,target_win_rate_high_minus_low,relative_all_mse_change_mean_low,relative_all_mse_change_mean_high,relative_all_mse_change_mean_high_minus_low,aggregate_relative_all_mse_change_low,aggregate_relative_all_mse_change_high,aggregate_relative_all_mse_change_high_minus_low,all_win_rate_low,all_win_rate_high,all_win_rate_high_minus_low
ETTh2,168,lee,lee_oc,0.0,1,gelu,turbulence_score,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,1,gelu,volatility,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,anomaly_density_intensity,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,cv,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,kurtosis,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,max_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,mean,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,mean_abs_change,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,range,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,skewness,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
ETTh2,168,lee,lee_oc,0.0,3,gelu,turbulence_score,10.21.53.113,8112,3,,,,,,,,,,,,,,,,,,
