dataset,pred_len,activation,amplitude,lee_type,baseline_activation,factor,sample_count,seed_count,relative_target_mse_change_mean_end_minus_start,target_win_rate_end_minus_start,aggregate_relative_target_mse_change_end_minus_start,relative_target_mse_change_spearman,target_win_spearman,factor_conditioned,aggregate_factor_conditioned,source_host
Solar1,24,tanh_cos,0.1,1,tanh,turbulence_score,41952,3,-0.0485751388217491,0.0256957026823475,0.1336780749261379,0.0241222031522682,0.033083152068275,False,True,10.21.53.142
Solar1,24,tanh_cos,0.1,1,tanh,volatility,41952,3,0.1710593550333463,0.0690764539216324,0.1565437875688076,0.055365836761054,0.0581008734871518,True,True,10.21.53.142
Solar1,24,tanh_rand,0.01,1,tanh,turbulence_score,41952,3,-0.0819669239407742,0.0055665215768083,0.0945932399481535,0.0068216920912762,0.0148818525586549,True,True,10.21.53.142
Solar1,24,tanh_rand,0.01,1,tanh,volatility,41952,3,0.0600769713941432,0.0242579623368968,0.0854078270494937,0.0169384573219336,0.0181641388732595,True,True,10.21.53.142
Solar1,24,tanh_rand,0.1,1,tanh,turbulence_score,41952,3,-0.1840019170691818,-0.0548011858054887,-0.0574056738987565,-0.0254388558312739,-0.0297705398774214,True,False,10.21.53.142
Solar1,24,tanh_rand,0.1,1,tanh,volatility,41952,3,-0.0002418939804345,-0.0023600005653506,-0.0514458278194069,0.0095931637858391,-0.0028079492185987,False,False,10.21.53.142
Solar1,24,tanh_sin,0.01,1,tanh,turbulence_score,41952,3,-0.1259554444944899,-0.0115949309765986,0.090071233222261,0.0094345396390918,0.0064213833319373,True,True,10.21.53.142
Solar1,24,tanh_sin,0.01,1,tanh,volatility,41952,3,0.0572782158627155,0.0211538860158703,0.064998373389244,0.0350672527035808,0.023820311669664,True,True,10.21.53.142
Solar1,24,tanh_sin,0.1,1,tanh,turbulence_score,41952,3,-0.0914887252038264,-0.0264993913993638,-0.0363029167056083,-0.0105299246478285,-0.0094731745652938,True,False,10.21.53.142
Solar1,24,tanh_sin,0.1,1,tanh,volatility,41952,3,-0.0491036908378271,0.0038735671767664,0.0149582754820585,0.0125426029800305,0.0081377076425842,False,False,10.21.53.142
Solar5,24,tanh,0.0,1,gelu,turbulence_score,41952,3,,,,,,False,False,10.21.53.142
Solar5,24,tanh,0.0,1,gelu,volatility,41952,3,,,,,,False,False,10.21.53.142
Solar5,24,tanh_cos,0.01,1,tanh,turbulence_score,41952,3,-0.1183290736803646,-0.0482364249331894,-0.1727528311312198,-0.0529163242891045,-0.0465019710344403,True,True,10.21.53.142
Solar5,24,tanh_cos,0.01,1,tanh,volatility,41952,3,-0.0984288453332618,-0.0344896827214956,-0.1985904462635517,-0.0241208189041237,-0.0249233942171931,True,True,10.21.53.142
Solar5,24,tanh_cos,0.1,1,tanh,turbulence_score,41952,3,0.0404984995007322,0.0086774655715688,-0.0408553316956386,-0.0025057859315576,-0.0017136307184315,False,False,10.21.53.142
Solar5,24,tanh_cos,0.1,1,tanh,volatility,41952,3,0.0284609487240896,-0.0114390810490553,-0.0422047865577042,-0.0073010767025193,-0.0064835218881557,True,False,10.21.53.142
Solar5,24,tanh_rand,0.01,1,tanh,turbulence_score,41952,3,0.0054885232857293,-0.0160318095045998,-0.0010408060625195,-0.0184310938427712,-0.0082127752579328,False,False,10.21.53.142
Solar5,24,tanh_rand,0.01,1,tanh,volatility,41952,3,0.0016724706709414,-0.0086410568240328,-0.0262774182483553,-0.0102772224219644,-0.002790685090465,False,False,10.21.53.142
