model_scope,target_kind,abstain,feature,train_gain_vs_static,train_regret_vs_oracle,fold,eval_name,feature_set,variant
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh2/168,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.012946794812534052,0.029793267033909034,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013247689169072286,0.029477542534447978,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.01112421671779258,0.03165814042122897,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.007891111332874704,0.03677565153788069,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,-0.0008479164601936543,0.045823162191120474,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.03898124379191185,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh2/336,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_volatility,0.013107344423896349,0.028467303384934802,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_anomaly_density_intensity,0.013247689169072286,0.02833128391946119,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_turbulence_score,0.011818329209684677,0.02977970853923595,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_mean,0.007891111332874704,0.03562939292289391,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_std,0.0015219020818870138,0.04405109759425638,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
Informer-fullgrid,config,True,input_cv,0.0057122898392472,0.037834985176925066,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_volatility,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_anomaly_density_intensity,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_turbulence_score,0.002060127882957176,0.0017559841549969583,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_mean,0.0006143253585507604,0.003211074881508836,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_std,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
PatchTST-transfer,config,True,input_cv,0.002873102077209018,0.0009373973243899774,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_volatility,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_anomaly_density_intensity,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_turbulence_score,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_mean,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_std,0.0,0.0003234530167574841,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
iTransformer-stage1,config,True,input_cv,0.00019697431537109086,0.00012585218615155267,Informer-fullgrid:ETTh2/720,leave_cell,data_only,data_only:config:abstain
