target,feature,feature_group,n,spearman,pearson,abs_spearman
gain_best_bounded_vs_gelu,input_realized_volatility,input,36,-0.4738738738738739,-0.35934095129020416,0.4738738738738739
gain_tanh_all_vs_gelu,router_time_dynamic_range_log,time,36,-0.4723294723294723,-0.15448866677317918,0.4723294723294723
gain_outtanh_vs_tanh,input_cv,input,36,-0.4710424710424711,-0.13933462646209535,0.4710424710424711
oracle_gain_vs_gelu,input_trend,input,36,0.4704292435251336,0.40045475049714835,0.4704292435251336
gain_tanh_all_vs_gelu,input_lag1_autocorr,input,36,0.46949806949806955,0.6309166286205659,0.46949806949806955
gain_best_bounded_vs_gelu,router_freq_seasonal_peak_strength,freq,36,-0.46924066924066926,-0.2640936155106193,0.46924066924066926
gain_best_bounded_vs_gelu,input_turbulence_score,input,36,-0.46537966537966546,-0.245895998736167,0.46537966537966546
gain_tanh_all_outtanh_vs_gelu,router_multivar_channel_heterogeneity_cv,multivar,36,-0.46537966537966546,-0.36380776922721797,0.46537966537966546
gain_best_bounded_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.4648648648648649,-0.37158486608435165,0.4648648648648649
gain_tanh_all_outtanh_vs_gelu,input_mean_abs_change,input,36,-0.4648648648648649,-0.3769628503217796,0.4648648648648649
gain_softsign_all_vs_gelu,input_trend,input,36,0.4646074646074646,0.41444239404265165,0.4646074646074646
gain_tanh_sin001_all_vs_gelu,input_lag1_autocorr,input,36,0.46280566280566277,0.6366311993049844,0.46280566280566277
static_gain_vs_gelu,input_lag1_autocorr,input,36,0.46280566280566277,0.6366311993049844,0.46280566280566277
gain_tanh_sin001_all_vs_gelu,input_trend,input,36,0.4622908622908623,0.4306600800996751,0.4622908622908623
static_gain_vs_gelu,input_trend,input,36,0.4622908622908623,0.4306600800996751,0.4622908622908623
gain_best_bounded_vs_gelu,input_trend_consistency,input,36,0.46074646074646075,0.684507635383873,0.46074646074646075
gain_tanh_all_vs_gelu,input_trend,input,36,0.4584298584298585,0.4298645021053779,0.4584298584298585
gain_softsign_all_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.4568854568854569,-0.5028136961518498,0.4568854568854569
oracle_gain_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.4562713182754031,-0.36117308496096506,0.4562713182754031
gain_enc_gelu_dec_tanh_vs_gelu,router_multivar_target_channel_dominance,multivar,36,0.45559845559845563,0.4506501642600758,0.45559845559845563
gain_best_bounded_vs_gelu,input_upside_volatility,input,36,-0.4543114543114543,-0.3405147607763525,0.4543114543114543
gain_tanh_all_vs_gelu,input_anomaly_density_intensity,input,36,-0.45405405405405413,-0.4876463152083115,0.45405405405405413
gain_outtanh_vs_tanh,input_max_abs_change,input,36,-0.4530244530244531,-0.3201372917066193,0.4530244530244531
gain_softsign_all_vs_gelu,router_time_dynamic_range_log,time,36,-0.4525096525096525,-0.15743692212213858,0.4525096525096525
oracle_gain_vs_gelu,input_realized_volatility,input,36,-0.4521526491118452,-0.3558449989630149,0.4521526491118452
oracle_gain_vs_gelu,input_volatility,input,36,-0.4521526491118452,-0.5033092213822529,0.4521526491118452
gain_softsign_all_vs_gelu,router_freq_dominant_period_to_horizon_ratio,freq,36,-0.45213053779409973,-0.14966563422049864,0.45213053779409973
gain_swish_all_vs_gelu,router_time_near_zero_fraction,time,36,-0.4507078507078507,-0.372706970336418,0.4507078507078507
gain_tanh_all_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.4504504504504505,-0.3637652488335651,0.4504504504504505
gain_tanh_sin001_all_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.44993564993564994,-0.3833343451154706,0.44993564993564994
static_gain_vs_gelu,router_freq_high_freq_noise_share,freq,36,-0.44993564993564994,-0.3833343451154706,0.44993564993564994
gain_tanh_all_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.4491634491634492,-0.539495192837088,0.4491634491634492
oracle_gain_vs_gelu,input_lag1_autocorr,input,36,0.4482913967710096,0.608148304047554,0.4482913967710096
gain_tanh_sin001_all_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.44736164736164746,-0.5058159093564158,0.44736164736164746
static_gain_vs_gelu,router_multivar_cross_channel_mean_abs_corr,multivar,36,-0.44736164736164746,-0.5058159093564158,0.44736164736164746
oracle_gain_vs_gelu,input_jump_intensity,input,36,-0.4462320621892306,-0.032919262561633425,0.4462320621892306
gain_tanh_sin001_all_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.44581724581724586,-0.5234223069721711,0.44581724581724586
static_gain_vs_gelu,router_time_trend_to_noise_ratio,time,36,-0.44581724581724586,-0.5234223069721711,0.44581724581724586
gain_best_bounded_vs_gelu,input_jump_intensity,input,36,-0.44530244530244534,-0.057474167474743876,0.44530244530244534
gain_best_bounded_vs_gelu,router_norm_normalization_drift_score,norm,36,0.44092664092664097,0.44647230914613195,0.44092664092664097
oracle_gain_vs_gelu,input_turbulence_score,input,36,-0.44056889208933847,-0.21197010448233888,0.44056889208933847
gain_outtanh_vs_tanh,router_norm_normalization_drift_score,norm,36,0.43963963963963965,0.35130756091718407,0.43963963963963965
