dataset,pred_len,best_config,best_mse,baseline_mse,model,baseline_config,best_gain_vs_baseline,non_baseline_best,input_cv,input_spectral_entropy,input_dominant_frequency_energy_ratio,router_multivar_channel_heterogeneity_cv,router_timefreq_burstiness_index,router_freq_seasonal_peak_strength
Solar3,96,gelu_ffn_linear,0.4464092453320821,0.4464092453320821,PatchTST,gelu_ffn_linear,0.0,False,1.277224582008971,0.2450720029229193,0.7563334723203164,1.1353978344818536,5.224818723950721,0.8976305022824516
Solar5,24,tanh_sin001_ffn_linear,0.1132596855362256,0.1147918154795964,PatchTST,gelu_ffn_linear,0.013347031205749323,True,1.544738475085553,0.2945392214602934,0.656662242242822,0.9679583885881692,10.508825249607938,0.8654627288217132
Solar5,96,softsign_ffn_linear,0.1745828092098235,0.1763663589954376,PatchTST,gelu_ffn_linear,0.010112755038846356,True,1.5450075919647293,0.2949505906785371,0.6565514288628399,0.9680745743822118,10.468334576014664,0.8644700061547301
ETTh2,96,gelu_ffn_linear,0.3015976250171661,0.3015976250171661,iTransformer-stage1,gelu_ffn_linear,0.0,False,,,,,,
ETTh2,336,gelu_ffn_linear,0.4228940308094024,0.4228940308094024,iTransformer-stage1,gelu_ffn_linear,0.0,False,0.2384534101455233,0.2555520393009191,0.7732766459177887,0.6643877639350042,2.242864170320537,0.4309676699226939
ETTh2,720,gelu_ffn_linear,0.4289864897727966,0.4289864897727966,iTransformer-stage1,gelu_ffn_linear,0.0,False,0.2085925864899145,0.2491514573929363,0.784393498403086,0.6678131303189667,1.933168450771093,0.3722033897904349
ETTm2,96,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,iTransformer-stage1,gelu_ffn_linear,0.0019369590091358612,True,0.2743924284021507,0.1715679380212237,0.7731810479501274,0.6996387522104323,3.798174078914024,0.60748710178731
ETTm2,336,gelu_ffn_linear,0.3134183883666992,0.3134183883666992,iTransformer-stage1,gelu_ffn_linear,0.0,False,,,,,,
ETTm2,720,gelu_ffn_linear,0.414091557264328,0.414091557264328,iTransformer-stage1,gelu_ffn_linear,0.0,False,,,,,,
ETTh2,96,gelu_ffn_outtanh,0.2996672689914703,0.3015976250171661,iTransformer-placeprobe,gelu_ffn_linear,0.006400435101522866,True,,,,,,
ETTm2,96,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,iTransformer-placeprobe,gelu_ffn_linear,0.0019369590091358612,True,0.2743924284021507,0.1715679380212237,0.7731810479501274,0.6996387522104323,3.798174078914024,0.60748710178731
ETTm2,720,tanh_ffn_outtanh,0.408508151769638,0.414091557264328,iTransformer-placeprobe,gelu_ffn_linear,0.013483504787145247,True,,,,,,
