feature,inner_mean_gain_vs_static,inner_positive_vs_static_rate,inner_mean_regret_vs_oracle,inner_top1_hit_rate,outer_mode,outer_fold
router_time_robust_scale_ratio,-0.039866948179316,0.11428571428571428,0.08928379072371016,0.08571428571428572,loco,"('ETTh1', 336)"
router_timefreq_rolling_spectral_entropy_std,-0.041720620799372325,0.2571428571428571,0.09303734797614986,0.2,loco,"('ETTh1', 336)"
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.10117960360817933,0.2,loco,"('ETTh1', 336)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.10158361386910734,0.14285714285714285,loco,"('ETTh1', 336)"
router_multivar_cross_channel_mean_abs_corr,-0.05835621189152792,0.05714285714285714,0.11084282621319419,0.17142857142857143,loco,"('ETTh1', 336)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.11379084641185265,0.17142857142857143,loco,"('ETTh1', 336)"
router_time_late_early_level_shift,-0.005241906959432966,0.3142857142857143,0.05078028867181378,0.22857142857142856,loco,"('ETTh1', 720)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05279333155209912,0.22857142857142856,loco,"('ETTh1', 720)"
router_multivar_target_channel_dominance,-0.008331388985578086,0.2857142857142857,0.05380032450351736,0.2571428571428571,loco,"('ETTh1', 720)"
router_time_iqr_mad_ratio,-0.008514938278691146,0.11428571428571428,0.054181270077299414,0.14285714285714285,loco,"('ETTh1', 720)"
router_multivar_channel_heterogeneity_cv,-0.008746306198360502,0.2571428571428571,0.054187576589921904,0.2,loco,"('ETTh1', 720)"
router_time_near_zero_fraction,-0.010654071575237975,0.2571428571428571,0.05624109730884886,0.2,loco,"('ETTh1', 720)"
router_time_robust_scale_ratio,-0.02126442322500109,0.11428571428571428,0.06717423261679073,0.14285714285714285,loco,"('ETTh1', 720)"
router_freq_dominant_period_to_horizon_ratio,-0.021655792913741694,0.14285714285714285,0.06788760436842295,0.14285714285714285,loco,"('ETTh1', 720)"
router_timefreq_rolling_spectral_entropy_std,-0.0222014373603138,0.2571428571428571,0.06823283051729435,0.2,loco,"('ETTh1', 720)"
input_cv,-0.02577853821964058,0.17142857142857143,0.0714923986452462,0.11428571428571428,loco,"('ETTh1', 720)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.07733053207789624,0.11428571428571428,loco,"('ETTh1', 720)"
router_multivar_cross_channel_mean_abs_corr,-0.03883702845246939,0.05714285714285714,0.08603830875433871,0.17142857142857143,loco,"('ETTh1', 720)"
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.09835166050314774,0.2,loco,"('ETTh1', 720)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.09875567076407576,0.14285714285714285,loco,"('ETTh1', 720)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.11096290330682107,0.17142857142857143,loco,"('ETTh1', 720)"
router_freq_seasonal_peak_strength,-0.002178828080924364,0.22857142857142856,0.05070444476351768,0.17142857142857143,loco,"('ETTh2', 24)"
input_volatility_ratio_late_early,-0.00433105602186749,0.3142857142857143,0.0529224356418441,0.2571428571428571,loco,"('ETTh2', 24)"
router_multivar_target_channel_dominance,-0.008529773513436638,0.2857142857142857,0.05705313558571568,0.2,loco,"('ETTh2', 24)"
router_time_near_zero_fraction,-0.010654071575237975,0.2571428571428571,0.059295457427533005,0.17142857142857143,loco,"('ETTh2', 24)"
router_multivar_channel_heterogeneity_cv,-0.012227535009394578,0.2,0.06091233019573134,0.11428571428571428,loco,"('ETTh2', 24)"
router_time_robust_scale_ratio,-0.01268337817055775,0.11428571428571428,0.061404070087850156,0.11428571428571428,loco,"('ETTh2', 24)"
router_time_late_early_level_shift,-0.024761090398491493,0.3142857142857143,0.07581122314432184,0.2,loco,"('ETTh2', 24)"
router_timefreq_burstiness_index,-0.025555082289272422,0.3142857142857143,0.07659369516090281,0.2,loco,"('ETTh2', 24)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07454675876393035,0.08571428571428572,loco,"('ETTh2', 24)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07921220454980746,0.11428571428571428,loco,"('ETTh2', 24)"
router_freq_harmonic_energy_ratio,-0.029315238648126796,0.08571428571428572,0.08107515698936342,0.14285714285714285,loco,"('ETTh2', 24)"
router_timefreq_rolling_spectral_entropy_std,-0.04111580418584847,0.2571428571428571,0.09266228487910635,0.2,loco,"('ETTh2', 24)"
router_freq_dominant_period_to_horizon_ratio,-0.042278767132514376,0.14285714285714285,0.09625795865042229,0.11428571428571428,loco,"('ETTh2', 24)"
router_multivar_cross_channel_mean_abs_corr,-0.04969018385981156,0.08571428571428572,0.10288454282139078,0.17142857142857143,loco,"('ETTh2', 24)"
router_time_outlier_mass_z3,-0.06582376646302134,0.02857142857142857,0.11860359687206797,0.14285714285714285,loco,"('ETTh2', 24)"
router_time_late_early_level_shift,-0.005241906959432966,0.3142857142857143,0.05291547608275144,0.22857142857142856,loco,"('ETTh2', 48)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05492851896303678,0.22857142857142856,loco,"('ETTh2', 48)"
router_multivar_target_channel_dominance,-0.008529773513436638,0.2857142857142857,0.05613396287796921,0.22857142857142856,loco,"('ETTh2', 48)"
router_time_near_zero_fraction,-0.010654071575237975,0.2571428571428571,0.05837628471978652,0.2,loco,"('ETTh2', 48)"
router_multivar_channel_heterogeneity_cv,-0.012227535009394578,0.2,0.05999315748798485,0.14285714285714285,loco,"('ETTh2', 48)"
router_freq_dominant_period_to_horizon_ratio,-0.021655792913741694,0.14285714285714285,0.07002279177936062,0.14285714285714285,loco,"('ETTh2', 48)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07362758605618387,0.11428571428571428,loco,"('ETTh2', 48)"
router_timefreq_burstiness_index,-0.027523613661874842,0.14285714285714285,0.07777333187345892,0.17142857142857143,loco,"('ETTh2', 48)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07829303184206099,0.14285714285714285,loco,"('ETTh2', 48)"
router_time_robust_scale_ratio,-0.04026826704293585,0.11428571428571428,0.08894218641308532,0.08571428571428572,loco,"('ETTh2', 48)"
router_freq_seasonal_peak_strength,-0.04093984827869188,0.2,0.0920324885690492,0.14285714285714285,loco,"('ETTh2', 48)"
router_time_outlier_mass_z3,-0.050104049514165146,0.05714285714285714,0.09809160191941013,0.14285714285714285,loco,"('ETTh2', 48)"
router_freq_harmonic_energy_ratio,-0.05098597021893604,0.08571428571428572,0.10348302636391106,0.17142857142857143,loco,"('ETTh2', 48)"
router_timefreq_rolling_spectral_entropy_std,-0.052279696254623025,0.17142857142857143,0.10291410327991199,0.11428571428571428,loco,"('ETTh2', 48)"
router_multivar_cross_channel_mean_abs_corr,-0.054496746764611394,0.05714285714285714,0.1061153085700708,0.17142857142857143,loco,"('ETTh2', 48)"
router_time_late_early_level_shift,-0.005241906959432966,0.3142857142857143,0.053834648790497916,0.2,loco,"('ETTh2', 168)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05584769167078326,0.2,loco,"('ETTh2', 168)"
router_multivar_target_channel_dominance,-0.008529773513436638,0.2857142857142857,0.05705313558571568,0.2,loco,"('ETTh2', 168)"
router_time_near_zero_fraction,-0.010654071575237975,0.2571428571428571,0.059295457427533005,0.17142857142857143,loco,"('ETTh2', 168)"
router_multivar_channel_heterogeneity_cv,-0.012227535009394578,0.2,0.06091233019573134,0.11428571428571428,loco,"('ETTh2', 168)"
router_freq_dominant_period_to_horizon_ratio,-0.023527076624996052,0.14285714285714285,0.0729204500836597,0.11428571428571428,loco,"('ETTh2', 168)"
input_cv,-0.02577853821964058,0.17142857142857143,0.07454675876393035,0.08571428571428572,loco,"('ETTh2', 168)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07921220454980747,0.11428571428571428,loco,"('ETTh2', 168)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.0803848921965804,0.08571428571428572,loco,"('ETTh2', 168)"
router_timefreq_rolling_spectral_entropy_std,-0.04172062079937232,0.2571428571428571,0.0932637649898024,0.17142857142857143,loco,"('ETTh2', 168)"
router_time_robust_scale_ratio,-0.04214281601292399,0.11428571428571428,0.0918066917948584,0.08571428571428572,loco,"('ETTh2', 168)"
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.10140602062183189,0.17142857142857143,loco,"('ETTh2', 168)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.10181003088275993,0.11428571428571428,loco,"('ETTh2', 168)"
router_multivar_cross_channel_mean_abs_corr,-0.05835621189152792,0.05714285714285714,0.11106924322684678,0.14285714285714285,loco,"('ETTh2', 168)"
