dataset,pred_len,features,target,activation,encoder_activation,decoder_activation,output_activation,activation_signature,activation_family,amplitude,lee_type,baseline_activation,baseline_activation_signature,factor,factor_bin,sample_count,seed_count,baseline_target_mse_mean,activation_target_mse_mean,target_mse_delta_mean,aggregate_relative_target_mse_change,relative_target_mse_change_mean,target_win_rate,baseline_all_mse_mean,activation_all_mse_mean,all_mse_delta_mean,aggregate_relative_all_mse_change,relative_all_mse_change_mean,all_win_rate
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9195,3,0.3202766,0.3011458,0.019130796,0.05973211,-0.22465688588551166,0.5686786296900489,0.24432985,0.23283656,0.011493295,0.04704008,-0.09071885608312132,0.5692224034801523
Solar5,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,anomaly_density_intensity,high,19453,3,0.24843393,0.24400574,0.004428193,0.017824428,-0.3274965779363287,0.5141623399989719,0.17085432,0.16790637,0.0029479414,0.017254123,-0.16060464309861217,0.5104097054438904
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,low,13079,3,0.2679697,0.26072562,0.0072440803,0.027033206,-0.439907566497555,0.48298799602416087,0.18091565,0.17488456,0.006031096,0.033336505,-0.2206485654349099,0.4618090068048016
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,mid,9150,3,0.30194288,0.28354958,0.018393308,0.060916513,-0.24729484284720465,0.5350819672131147,0.23316105,0.2221272,0.011033848,0.04732286,-0.10254225704013042,0.5428415300546449
Solar5,96,M,Power,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,sin_perturb,0.01,1,tanh,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,anomaly_density_intensity,high,19531,3,0.24353197,0.23787522,0.005656749,0.023227952,-0.27505747400729064,0.5146689877630434,0.16778617,0.16575749,0.002028674,0.012090829,-0.12519508957031372,0.5098049255030465
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,10280,3,0.29693013,0.28824747,0.008682668,0.029241452,-0.21204369133360415,0.5617704280155642,0.27757353,0.2668673,0.010706216,0.03857074,-0.08688097524824073,0.5300583657587549
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,17617,3,0.18405817,0.16506109,0.018997088,0.10321241,-0.22714997268895928,0.55514559800193,0.22747678,0.21823226,0.0092445165,0.040639386,-0.08922003834313338,0.5287506385877278
Solar1,96,M,Power,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,baseline,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,high,13863,3,0.1267893,0.111358,0.0154313,0.121708214,-0.3162588082793238,0.5228305561566761,0.19770129,0.19985066,-0.0021493733,-0.010871822,-0.13810262580747093,0.48510423429272165
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,low,10329,3,0.2980552,0.2806402,0.017414987,0.05842873,-0.18362937786306965,0.539064769096718,0.2792488,0.26804087,0.011207938,0.040136028,-0.08656206477028501,0.5084712944137865
Solar1,96,M,Power,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,bounded_sign,0.0,1,gelu,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,turbulence_score,mid,17568,3,0.18308187,0.16711348,0.015968382,0.0872199,-0.19812455031990236,0.5623861566484517,0.22635208,0.21671341,0.009638667,0.04258263,-0.08585204447594692,0.523224043715847
