setting,dataset,pred_len,activation,activation_family,amplitude,frequency,phase,lee_type,features,target,seed,server_id,server_ip,des,mse,mae,rmse,mape,mspe,relative_mse_change,win_against_baseline,run_id,encoder_activation,decoder_activation,output_activation,activation_signature,seq_len,label_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,dropout,attn,embed,batch_size,train_epochs
informer_ETTh2_tanh_sin_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.6275997,1.8720051,2.1511858,9.238967,3563.3936,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_sin_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_sin,sin_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.6509833,1.877731,2.1566138,9.426871,3702.788,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.537675,1.8522534,2.1301818,9.13915,3484.331,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_cos_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_cos,cos_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.8478503,1.9126718,2.2017834,9.780882,3977.9604,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_rand_a0.01_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.01,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,4.6182623,1.8766665,2.1490142,9.626543,3888.0435,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh2_tanh_rand_a0.1_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2029_4090-82_phase1_oscillation_forms_ett_4090-82_20260515_033826,ETTh2,168,tanh_rand,random_osc_perturb,0.1,1.0,0.0,1,M,OT,2029,4090-82,10.21.53.82,phase1_oscillation_forms_ett_4090-82_20260515_033826,5.1364765,1.9707248,2.2663796,10.16971,4273.552,,,phase1_oscillation_forms_ett_4090-82_20260515_033826,,,,,,,,,,,,,,,,,
informer_ETTh1_gelu_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-82-layer_phase1_layer_activation_probe_20260516_153001,ETTh1,168,gelu,baseline,0.0,1.0,0.0,1,M,OT,2024,4090-82-layer,10.21.53.82,phase1_layer_activation_probe_20260516_153001,1.2610568,0.90386105,1.1229678,9.9788,28325.053,,,20260516_153001,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,,,,,,,,,,,,,
informer_ETTh1_tanh_a0_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-82-layer_phase1_layer_activation_probe_20260516_153001,ETTh1,168,tanh,bounded_sign,0.0,1.0,0.0,1,M,OT,2024,4090-82-layer,10.21.53.82,phase1_layer_activation_probe_20260516_153001,1.1713173,0.88022053,1.0822742,12.961006,50018.62,,,20260516_153001,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,,,,,,,,,,,,,
informer_ETTh1_gelu_a0_enctanh_decgelu_outlinear_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-82-layer_phase1_layer_activation_probe_20260516_153001,ETTh1,168,gelu,baseline,0.0,1.0,0.0,1,M,OT,2024,4090-82-layer,10.21.53.82,phase1_layer_activation_probe_20260516_153001,1.1823725,0.8723903,1.0873696,11.955104,44290.95,,,20260516_153001,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,,,,,,,,,,,,,
informer_ETTh1_gelu_a0_encgelu_dectanh_outlinear_ftM_sl96_ll48_pl168_dm512_nh8_el2_dl1_df2048_fc5_seed2024_4090-82-layer_phase1_layer_activation_probe_20260516_153001,ETTh1,168,gelu,baseline,0.0,1.0,0.0,1,M,OT,2024,4090-82-layer,10.21.53.82,phase1_layer_activation_probe_20260516_153001,1.2442088,0.8962444,1.1154411,10.196371,29473.078,,,20260516_153001,gelu,tanh,linear,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,,,,,,,,,,,,,
