feature_set,eval_name,fold,action_name,action_family,feature,direction,threshold,objective,fired_count,fired_rate,precision,mean_uplift_if_fired,policy_mean_uplift
all_input,leave_cell,Informer-fullgrid:Solar6/96,regime_swish_vs_gelu,regime,input_trend_consistency,high,0.5191999651503845,0.045158674594263946,31,0.8857142857142857,0.8064516129032258,0.05098560034836253,0.045158674594263946
all_input,leave_cell,Informer-fullgrid:Solar7/24,regime_swish_vs_gelu,regime,input_anomaly_density_intensity,low,0.054644343404513136,0.047173829069221136,31,0.8857142857142857,0.8387096774193549,0.05326077475557225,0.047173829069221136
all_input,leave_cell,Informer-fullgrid:Solar7/96,regime_swish_vs_gelu,regime,input_mean,high,4.9126529709561275,0.04396068728480385,31,0.8857142857142857,0.7741935483870968,0.04963303403123016,0.04396068728480385
all_input,leave_cell,Informer-fullgrid:Solar8/24,regime_swish_vs_gelu,regime,input_trend_consistency,high,0.5191999651503845,0.045395340125350965,31,0.8857142857142857,0.8064516129032258,0.05125280336733175,0.045395340125350965
all_input,leave_cell,Informer-fullgrid:Solar8/96,regime_swish_vs_gelu,regime,input_trend_consistency,high,0.5191999651503845,0.04538635306598588,31,0.8857142857142857,0.8064516129032258,0.051242656687403416,0.04538635306598588
all_input,leave_cell,Informer-fullgrid:ETTh1/24,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12802759678168246,26,0.7428571428571429,0.8461538461538461,0.17234484182149565,0.12802759678168246
all_input,leave_cell,Informer-fullgrid:ETTh1/48,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12568671366075104,26,0.7428571428571429,0.8461538461538461,0.16919365300485717,0.12568671366075104
all_input,leave_cell,Informer-fullgrid:ETTh1/168,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12537894406613045,26,0.7428571428571429,0.8461538461538461,0.16877934778132947,0.12537894406613045
all_input,leave_cell,Informer-fullgrid:ETTh1/336,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12611857406319085,26,0.7428571428571429,0.8461538461538461,0.16977500354660308,0.12611857406319085
all_input,leave_cell,Informer-fullgrid:ETTh1/720,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.13004634138210477,26,0.7428571428571429,0.8846153846153846,0.17506238262975649,0.13004634138210477
all_input,leave_cell,Informer-fullgrid:ETTh2/24,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12068249636111997,26,0.7428571428571429,0.8461538461538461,0.16245720663996918,0.12068249636111997
all_input,leave_cell,Informer-fullgrid:ETTh2/48,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.11850802155735372,26,0.7428571428571429,0.8461538461538461,0.15953002901951463,0.11850802155735372
all_input,leave_cell,Informer-fullgrid:ETTh2/168,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.11678069041673637,26,0.7428571428571429,0.8461538461538461,0.15720477556099127,0.11678069041673637
all_input,leave_cell,Informer-fullgrid:ETTh2/336,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.11611492054646833,26,0.7428571428571429,0.8461538461538461,0.1563085468894766,0.11611492054646833
all_input,leave_cell,Informer-fullgrid:ETTh2/720,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.125611914542363,26,0.7428571428571429,0.8461538461538461,0.16909296188395023,0.125611914542363
all_input,leave_cell,Informer-fullgrid:ETTm1/24,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12633457816344795,26,0.7428571428571429,0.8461538461538461,0.17006577829694913,0.12633457816344795
all_input,leave_cell,Informer-fullgrid:ETTm1/48,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.127450268352789,26,0.7428571428571429,0.8461538461538461,0.17156766893644673,0.127450268352789
all_input,leave_cell,Informer-fullgrid:ETTm1/96,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12625124694844592,26,0.7428571428571429,0.8461538461538461,0.16995360166136947,0.12625124694844592
all_input,leave_cell,Informer-fullgrid:ETTm1/288,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12622795849231128,26,0.7428571428571429,0.8461538461538461,0.1699222518165729,0.12622795849231128
all_input,leave_cell,Informer-fullgrid:ETTm1/672,regime_tanh_sin_vs_default,regime,input_volatility,low,1.366097731591828,0.12900757016388448,26,0.7428571428571429,0.8846153846153846,0.17366403675907524,0.12900757016388448
