dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,seed,linear_mse,linear_mae,outtanh_mse,outtanh_mae,base_activation,output_tanh_gain,output_tanh_win
ETTh2,720,336,16,8,3,16,4,128,128,20,2025,0.3788292407989502,0.4180142879486084,0.382230132818222,0.420115053653717,tanh_sin001,-0.008977374640086704,False
ETTh2,720,336,16,8,3,16,4,128,128,20,2026,0.3796885907649994,0.4188345670700073,0.3823779821395874,0.4202413856983185,tanh_sin001,-0.007083150350052412,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2024,0.2612520754337311,0.3189117908477783,0.2667417526245117,0.3229407072067261,tanh_sin001,-0.021012951501597335,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2025,0.2618929147720337,0.3202927112579345,0.2679119706153869,0.32484832406044,tanh_sin001,-0.022982889203369782,False
ETTm2,288,336,16,8,3,128,16,256,128,20,2026,0.2672572731971741,0.321544885635376,0.2702353894710541,0.3236964643001556,tanh_sin001,-0.01114325622742863,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2024,0.3593111634254455,0.3782287240028381,0.36240354180336,0.3792477548122406,tanh_sin001,-0.008606407739836702,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2025,0.3593010008335113,0.3782816529273987,0.3615574836730957,0.3803922832012176,tanh_sin001,-0.0062802019319450455,False
ETTm2,672,336,16,8,3,128,16,256,128,20,2026,0.3583030998706817,0.3774463236331939,0.3613563477993011,0.3791237473487854,tanh_sin001,-0.008521410866167105,False
Solar3,96,96,16,8,3,128,8,256,128,20,2024,0.4502809047698974,0.4181233048439026,0.497973084449768,0.4339292645454407,tanh_sin001,-0.10591650495204159,False
Solar3,96,96,16,8,3,128,8,256,128,20,2025,0.4533104002475738,0.4203459024429321,0.4958961009979248,0.432342529296875,tanh_sin001,-0.09394379817249501,False
Solar3,96,96,16,8,3,128,8,256,128,20,2026,0.4505689740180969,0.4179059565067291,0.4898436069488525,0.4281053841114044,tanh_sin001,-0.08716674958888339,False
Solar5,96,96,16,8,3,128,8,256,128,20,2024,0.176456406712532,0.2284826636314392,0.2039848566055297,0.2358302623033523,tanh_sin001,-0.1560070864292548,False
Solar5,96,96,16,8,3,128,8,256,128,20,2025,0.1727292090654373,0.2184695601463318,0.2041867971420288,0.236722856760025,tanh_sin001,-0.18212083669458606,False
Solar5,96,96,16,8,3,128,8,256,128,20,2026,0.1759480983018875,0.2274616062641143,0.2040284723043441,0.2357852756977081,tanh_sin001,-0.15959464338328314,False
