target,feature,spearman,pearson,abs_spearman
static_regret_vs_oracle,router_time_robust_scale_ratio,-0.030336372866775776,0.04854509064002681,0.030336372866775776
static_regret_vs_oracle,router_timefreq_rolling_spectral_entropy_std,-0.030104418076969737,0.057702698033727996,0.030104418076969737
static_regret_vs_oracle,input_turbulence_score,-0.027320960599297246,0.020216688296171608,0.027320960599297246
oracle_gain_vs_baseline,router_freq_high_freq_noise_share,-0.026713089829746878,-0.16275750982644005,0.026713089829746878
oracle_gain_vs_baseline,input_kurtosis,-0.02648449370650944,-0.19409630931730684,0.02648449370650944
oracle_gain_vs_baseline,input_volatility_ratio_late_early,0.020802247214607293,-0.10022654449826507,0.020802247214607293
static_regret_vs_oracle,input_max_drawdown,-0.02029604410802858,-0.09902691566250717,0.02029604410802858
static_regret_vs_oracle,router_norm_normalization_drift_score,0.015292447927926838,-0.07808134058764687,0.015292447927926838
static_regret_vs_oracle,router_timefreq_burstiness_index,-0.015060493138120797,0.05859389731198125,0.015060493138120797
static_regret_vs_oracle,router_time_local_roughness_ratio,0.014165810377440354,-0.012238022763519785,0.014165810377440354
static_regret_vs_oracle,router_multivar_cross_channel_mean_abs_corr,0.012011944472098546,0.012868932030912572,0.012011944472098546
static_regret_vs_oracle,router_time_trend_to_noise_ratio,-0.011216670907049262,-0.1151676032681902,0.011216670907049262
oracle_gain_vs_baseline,input_cv,-0.00914384492949771,-0.3045287214917409,0.00914384492949771
oracle_gain_vs_baseline,ffn_to_model_ratio,0.0070625977735147075,-0.05667755603359248,0.0070625977735147075
static_regret_vs_oracle,input_upside_volatility,0.0067101207051033255,-0.06721140564704339,0.0067101207051033255
static_regret_vs_oracle,input_realized_volatility,-0.004655663995392678,-0.07533975573302187,0.004655663995392678
oracle_gain_vs_baseline,e_layers,,,
oracle_gain_vs_baseline,batch_size,,,
oracle_gain_vs_baseline,patch_len,,,
oracle_gain_vs_baseline,stride,,,
oracle_gain_vs_baseline,has_patch,,,
oracle_gain_vs_baseline,has_decoder,,,
oracle_gain_vs_baseline,is_informer,,,
oracle_gain_vs_baseline,is_patchtst,,,
oracle_gain_vs_baseline,is_itransformer,,,
oracle_gain_vs_baseline,scope_has_output_tanh,,,
static_regret_vs_oracle,e_layers,,,
static_regret_vs_oracle,batch_size,,,
static_regret_vs_oracle,patch_len,,,
static_regret_vs_oracle,stride,,,
static_regret_vs_oracle,has_patch,,,
static_regret_vs_oracle,has_decoder,,,
static_regret_vs_oracle,is_informer,,,
static_regret_vs_oracle,is_patchtst,,,
static_regret_vs_oracle,is_itransformer,,,
static_regret_vs_oracle,scope_has_output_tanh,,,
oracle_nonbaseline,input_volatility,,,
oracle_nonbaseline,input_anomaly_density_intensity,,,
oracle_nonbaseline,input_turbulence_score,,,
oracle_nonbaseline,input_mean,,,
oracle_nonbaseline,input_std,,,
oracle_nonbaseline,input_cv,,,
oracle_nonbaseline,input_trend,,,
oracle_nonbaseline,input_range,,,
oracle_nonbaseline,input_mean_abs_change,,,
oracle_nonbaseline,input_max_abs_change,,,
oracle_nonbaseline,input_skewness,,,
oracle_nonbaseline,input_kurtosis,,,
oracle_nonbaseline,input_realized_volatility,,,
oracle_nonbaseline,input_volatility_shock,,,
oracle_nonbaseline,input_volatility_ratio_late_early,,,
oracle_nonbaseline,input_upside_volatility,,,
oracle_nonbaseline,input_downside_volatility,,,
oracle_nonbaseline,input_cumulative_change,,,
oracle_nonbaseline,input_momentum,,,
oracle_nonbaseline,input_trend_consistency,,,
oracle_nonbaseline,input_reversal_rate,,,
oracle_nonbaseline,input_mean_crossing_rate,,,
oracle_nonbaseline,input_lag1_autocorr,,,
