feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
input_dominant_frequency_energy_ratio,0.0182131726094425,0.5,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
seq_len,0.01810825260659969,0.5357142857142857,0.010123555733778624,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_jump_intensity,0.01810825260659969,0.5357142857142857,0.010123555733778624,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_harmonic_energy_ratio,0.018069680268132413,0.5,0.010167197102230094,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_seasonal_peak_strength,0.018056244442943736,0.5178571428571429,0.010177826121675528,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
input_turbulence_score,0.017927667695191718,0.5178571428571429,0.010305985512854178,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_multivar_missing_or_constant_channel_ratio,0.017888475116578186,0.5535714285714286,0.010342517276091827,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/24,train_score
router_freq_spectral_entropy,0.017840697649158237,0.5,0.010393694086232407,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh2/24,train_score
n_heads,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_model,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
train_epochs,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_ff,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
scope_config_count,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
patch_to_seq_ratio,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
pred_to_seq_ratio,0.017794247855074722,0.4642857142857143,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh2/24,train_score
d_layers,0.019586705677160254,0.48214285714285715,0.007886356161715288,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_multivar_correlation_condition_number,0.017932027752432578,0.5178571428571429,0.009743203317878122,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_daily_cycle_energy_ratio,0.01773741331297434,0.48214285714285715,0.009939977192326564,0.75,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_timefreq_dominant_frequency_drift,0.017656595339374883,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_spectral_entropy,0.017656595339374883,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_dominant_frequency_energy_ratio,0.017656595339374883,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
seq_len,0.017551675336532072,0.5178571428571429,0.010123555733778624,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
input_jump_intensity,0.017551675336532072,0.5178571428571429,0.010123555733778624,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_freq_harmonic_energy_ratio,0.017513102998064797,0.48214285714285715,0.010167197102230094,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh2/48,train_score
router_freq_seasonal_peak_strength,0.01749966717287612,0.5,0.010177826121675528,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh2/48,train_score
