model_scope,dataset,pred_len,seq_len,label_len,e_layers,d_layers,factor,action,action_config,action_mse,baseline_config,baseline_mse,oracle_mse,static_mse,oracle_action,static_config,action_gain_vs_baseline,action_regret_vs_oracle,action_gain_vs_static
Informer-fullgrid,ETTm1,672,672,384,2,1,5,bounded_linear,softsign_all,0.92203278,gelu_all,1.002575233333333,0.92203278,1.00667942,bounded_linear,tanh_sin001_all,0.08033557049434373,0.0,0.0840850009628686
Informer-fullgrid,ETTm1,672,672,384,2,1,5,other_linear,relu_all,0.96571622,gelu_all,1.002575233333333,0.92203278,1.00667942,bounded_linear,tanh_sin001_all,0.03676433658827308,0.04737731775653358,0.04069140501551127
Informer-fullgrid,ETTm1,672,672,384,2,1,5,output_tanh,tanh_all_outtanh,1.062364,gelu_all,1.002575233333333,0.92203278,1.00667942,bounded_linear,tanh_sin001_all,-0.05963519213204882,0.15219764746324974,-0.055315107166887444
Informer-fullgrid,ETTm2,24,672,96,2,1,5,baseline,gelu_all,1.2393198333333333,gelu_all,1.2393198333333333,0.6846686166666666,0.7708657899999999,bounded_linear,tanh_sin001_all,0.0,0.8101017093013637,-0.6076985766009068
Informer-fullgrid,ETTm2,24,672,96,2,1,5,bounded_linear,tanh_all,0.6846686166666666,gelu_all,1.2393198333333333,0.6846686166666666,0.7708657899999999,bounded_linear,tanh_sin001_all,0.44754485625784796,0.0,0.11181865176989284
Informer-fullgrid,ETTm2,24,672,96,2,1,5,other_linear,relu_all,1.3205322666666666,gelu_all,1.2393198333333333,0.6846686166666666,0.7708657899999999,bounded_linear,tanh_sin001_all,-0.06552984237725017,0.9287173889986732,-0.7130508109156936
Informer-fullgrid,ETTm2,24,672,96,2,1,5,output_tanh,tanh_all_outtanh,1.2974992666666667,gelu_all,1.2393198333333333,0.6846686166666666,0.7708657899999999,bounded_linear,tanh_sin001_all,-0.04694464799845191,0.8950762968859123,-0.6831714203670485
Informer-fullgrid,ETTm2,48,96,48,2,1,5,baseline,gelu_all,0.39631575,gelu_all,0.39631575,0.30922799,0.3262692066666666,bounded_linear,tanh_sin001_all,0.0,0.2816296157408002,-0.21468940954914137
Informer-fullgrid,ETTm2,48,96,48,2,1,5,bounded_linear,softsign_all,0.30922799,gelu_all,0.39631575,0.30922799,0.3262692066666666,bounded_linear,tanh_sin001_all,0.21974337381242107,0.0,0.0522305394394046
Informer-fullgrid,ETTm2,48,96,48,2,1,5,other_linear,swish_all,0.40747061,gelu_all,0.39631575,0.30922799,0.3262692066666666,bounded_linear,tanh_sin001_all,-0.028146395897715365,0.3177028702996776,-0.24887853856307363
Informer-fullgrid,ETTm2,48,96,48,2,1,5,output_tanh,tanh_all_outtanh,1.2583858,gelu_all,0.39631575,0.30922799,0.3262692066666666,bounded_linear,tanh_sin001_all,-2.1752101701736555,3.0694433902959433,-2.856894166802667
Informer-fullgrid,ETTm2,96,384,384,2,1,5,baseline,gelu_all,1.6045523666666668,gelu_all,1.6045523666666668,1.3350371,1.3350371,bounded_linear,tanh_sin001_all,0.0,0.20187848462538358,-0.20187848462538358
Informer-fullgrid,ETTm2,96,384,384,2,1,5,bounded_linear,tanh_sin001_all,1.3350371,gelu_all,1.6045523666666668,1.3350371,1.3350371,bounded_linear,tanh_sin001_all,0.16796913099605704,0.0,0.0
Informer-fullgrid,ETTm2,96,384,384,2,1,5,other_linear,swish_all,1.5087121,gelu_all,1.6045523666666668,1.3350371,1.3350371,bounded_linear,tanh_sin001_all,0.05973022050116546,0.13009001772310283,-0.13009001772310283
Informer-fullgrid,ETTm2,96,384,384,2,1,5,output_tanh,tanh_all_outtanh,1.597739866666667,gelu_all,1.6045523666666668,1.3350371,1.3350371,bounded_linear,tanh_sin001_all,0.00424573241828955,0.19677563018036487,-0.19677563018036487
Informer-fullgrid,ETTm2,288,672,288,2,1,5,baseline,gelu_all,5.329461733333333,gelu_all,5.329461733333333,2.3545683,2.525360733333333,output_tanh,tanh_sin001_all,0.0,1.26345599460136,-1.1103764159264269
