feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
router_timefreq_dominant_frequency_drift,-0.001383266859266598,0.32142857142857145,0.03143641650318598,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_dominant_frequency_energy_ratio,-0.001383266859266598,0.32142857142857145,0.03143641650318598,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_harmonic_energy_ratio,-0.0014487280951477738,0.32142857142857145,0.03150330473388542,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_seasonal_peak_strength,-0.001499680612947173,0.3392857142857143,0.031552510491404485,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_spectral_entropy,-0.0016470284786313258,0.32142857142857145,0.03170017812255071,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
seq_len,-0.0016668080488557843,0.35714285714285715,0.03171737570307215,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_jump_intensity,-0.0016668080488557843,0.35714285714285715,0.03171737570307215,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
n_heads,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_model,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
train_epochs,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_ff,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
scope_config_count,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
patch_to_seq_ratio,-0.0017238298426224378,0.2857142857142857,0.0317809884710631,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_freq_spectral_entropy,-0.0017867534606078918,0.32142857142857145,0.03183990310452728,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_turbulence_score,-0.0018473929602637548,0.3392857142857143,0.0318998054821477,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_multivar_missing_or_constant_channel_ratio,-0.0018580119700165247,0.375,0.031907763676524585,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
d_layers,0.001506756881254493,0.30357142857142855,0.026555924689277834,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_multivar_correlation_condition_number,-0.0011300985074910225,0.3392857142857143,0.029414260113712006,0.7857142857142857,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_daily_cycle_energy_ratio,-0.0012902385662381828,0.32142857142857145,0.029576379088886214,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_timefreq_dominant_frequency_drift,-0.0014052002549656863,0.30357142857142855,0.02969194385088969,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_dominant_frequency_energy_ratio,-0.0014052002549656863,0.30357142857142855,0.02969194385088969,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_harmonic_energy_ratio,-0.0014706614908468623,0.30357142857142855,0.02975883208158913,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
router_freq_seasonal_peak_strength,-0.0015216140086462614,0.32142857142857145,0.02980803783910819,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_spectral_entropy,-0.0016689618743304141,0.30357142857142855,0.029955705470254418,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/720,train_score
seq_len,-0.0016887414445548737,0.3392857142857143,0.029972903050775858,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
input_jump_intensity,-0.0016887414445548737,0.3392857142857143,0.029972903050775858,0.75,leave_cell,Informer-fullgrid:ETTh1/720,train_score
n_heads,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_model,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
train_epochs,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
d_ff,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
scope_config_count,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
patch_to_seq_ratio,-0.0017457632383215261,0.26785714285714285,0.030036515818766818,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/720,train_score
